hero_id,Hero,D2PT Rating,Matches,WR,Most Played Build WR,Role
552,Rubick,2940,269,44.6,47.1,pos 5
553,Pudge,2935,425,45.6,53.5,pos 5
554,Witch Doctor,2930,376,46.3,47.2,pos 5
555,Ancient Apparition,2928,349,45.0,45.1,pos 5
556,Tusk,2928,556,47.8,51.5,pos 5
557,Crystal Maiden,2902,751,47.1,48.0,pos 5
558,Shadow Shaman,2883,1348,48.1,53.9,pos 5
559,Pudge,2866,740,46.9,47.7,pos 5
560,Axe,0,37,54.1,55.4,pos 5
561,Sniper,0,35,42.9,46.0,pos 5
562,Omniknight,0,33,48.5,41.7,pos 5
563,Omniknight,0,40,52.5,46.2,pos 5
564,Enchantress,0,32,40.6,38.3,pos 5
565,Bounty Hunter,0,38,44.7,35.9,pos 5
566,Weaver,0,41,39.0,43.5,pos 5
567,Batrider,0,31,51.6,49.1,pos 5
568,Doom,0,35,48.6,50.8,pos 5
569,Gyrocopter,0,28,50.0,41.0,pos 5
570,Gyrocopter,0,35,45.7,43.8,pos 5
571,Invoker,0,25,44.0,50.0,pos 5
572,Invoker,0,25,56.0,55.8,pos 5
573,Shadow Demon,0,43,51.2,58.9,pos 5
574,Disruptor,0,39,35.9,44.3,pos 5
575,Nyx Assassin,0,33,33.3,34.6,pos 5
576,Keeper of the Light,0,26,42.3,48.6,pos 5
577,Io,0,44,61.4,51.7,pos 5
578,Tusk,0,26,34.6,37.0,pos 5
579,Skywrath Mage,0,48,50.0,49.0,pos 5
580,Techies,0,49,65.3,54.2,pos 5
581,Earth Spirit,0,49,51.0,37.2,pos 5
582,Dawnbreaker,0,31,54.8,62.5,pos 5
583,Muerta,0,41,51.2,42.4,pos 5
